config_id,P_ij,B_ij,Dbar_plus_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,n_status_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
128134,0.59,1.7333333333333334,2.0084745762711864,0.32474819624819623,0.005312875735375735,200,75,118,1282,32,6,7.1,586809,1200154,34,lead_stubborn,0.4113840234518945,0.152863497296565
128245,0.47,1.7301587301587302,2.0106382978723403,0.22216453889248006,0.004242616961212163,200,63,94,1283,32,6,10.2,586809,1200154,45,lead_stubborn,0.2747520561924723,0.7307587255425585
127057,0.215,1.6285714285714286,2.0,0.10354688367188367,0.004726896575646578,200,35,43,1271,434,6,5.0,709298,6394202,57,lead_stubborn,0.2281547978409189,0.2464978385902064
128567,0.5,1.631578947368421,2.01,0.26093055555555555,0.004855079365079367,200,57,100,1286,32,6,29.9,586809,1200154,67,lead_stubborn,0.3604525200861999,0.8954386061007626
127236,0.425,1.7636363636363637,2.011764705882353,0.2431123598623598,0.004962481268731265,200,55,85,1273,434,6,10.2,709298,6394202,36,lead_stubborn,0.3461077870164497,0.600169191961039
128825,0.67,1.8695652173913044,2.0074626865671643,0.41265476190476186,0.005048297258297256,200,92,134,1289,32,6,87.4,586809,1200154,25,lead_stubborn,0.454095890072901,0.6742162468199493
128925,0.59,1.8902439024390243,2.016949152542373,0.36640476190476184,0.005309583333333331,200,82,118,1290,32,6,125.0,586809,1200154,25,lead_stubborn,0.454095890072901,0.6742162468199493
127440,0.3,2.0277777777777777,2.0,0.1252541486291486,0.004268314602064601,200,36,60,1275,434,6,20.9,709298,6394202,40,lead_stubborn,0.2501126952506121,0.6454895199876196
129147,0.585,1.7532467532467533,2.0,0.35050847763347776,0.005059844877344876,200,77,117,1292,73,8,7.1,1137670,5324555,47,lead_stubborn,0.4071129309119736,0.103198652756049
129349,0.425,1.7666666666666666,2.0,0.2200218253968253,0.004367670772854596,200,60,85,1294,73,8,14.6,1137670,5324555,49,lead_stubborn,0.3008118292997498,0.7565167136190543
129466,0.585,1.7191011235955056,2.0085470085470085,0.3801111111111112,0.00550037698412698,200,89,117,1295,73,8,20.9,1137670,5324555,66,lead_stubborn,0.4409284566649496,0.3941260031346912
129821,0.32,1.7446808510638299,2.0,0.1540261356290768,0.0038283923846191645,200,47,64,1299,73,8,87.4,1137670,5324555,21,lead_stubborn,0.2397567210258474,0.5887702959721403
129598,0.295,1.8,2.0,0.10610875235875238,0.0034000809950283637,200,40,59,1296,73,8,29.9,1137670,5324555,98,lead_stubborn,0.21729239263723,0.8840829656528192
129997,0.66,1.8842105263157896,2.007575757575758,0.4375416666666667,0.005500615079365077,200,95,132,1300,73,8,125.0,1137670,5324555,97,lead_stubborn,0.4855618445578609,0.1689982716058866
