system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i
527,404,8,42.7,261804,2429479,1,0.445,,,1.8876404494382022,0.84
529,404,8,87.4,261804,2429479,1,0.26,,,1.9423076923076923,0.505
531,245,5,5.0,345160,5433288,1,0.385,,,1.7792207792207793,0.685
536,245,5,29.9,345160,5433288,1,0.185,,,1.8108108108108107,0.335
539,245,5,87.4,345160,5433288,1,0.3,,,1.8166666666666667,0.545
543,749,5,10.2,991651,3043360,1,0.305,,,1.9508196721311475,0.595
545,749,5,20.9,991651,3043360,1,0.24,,,1.8541666666666667,0.445
546,749,5,29.9,991651,3043360,1,0.205,,,1.8048780487804879,0.37
548,749,5,61.0,991651,3043360,1,0.295,,,2.016949152542373,0.595
553,475,7,10.2,857879,2331062,1,0.475,,,2.0,0.95
555,475,7,20.9,857879,2331062,1,0.305,,,1.8688524590163935,0.57
560,475,7,125.0,857879,2331062,1,0.165,,,1.696969696969697,0.28
564,323,8,14.6,621098,7452855,1,0.35,,,1.7714285714285714,0.62
566,323,8,29.9,621098,7452855,1,0.33,,,1.893939393939394,0.625
568,323,8,61.0,621098,7452855,1,0.325,,,1.7076923076923076,0.555
570,323,8,125.0,621098,7452855,1,0.365,,,1.9863013698630136,0.725
572,183,4,7.1,558235,7891629,1,0.285,,,1.5789473684210527,0.45
576,183,4,29.9,558235,7891629,1,0.425,,,1.8705882352941177,0.795
578,183,4,61.0,558235,7891629,1,0.33,,,1.893939393939394,0.625
581,555,2,5.0,1149320,4915645,1,0.53,,,2.169811320754717,1.1500000000000001
582,555,2,7.1,1149320,4915645,1,0.26,,,1.7307692307692308,0.45
583,555,2,10.2,1149320,4915645,1,0.23,,,1.673913043478261,0.385
585,555,2,20.9,1149320,4915645,1,0.4,,,1.5875,0.635
588,555,2,61.0,1149320,4915645,1,0.375,,,1.4666666666666666,0.5499999999999999
589,555,2,87.4,1149320,4915645,1,0.4,,,1.5375,0.615
593,203,3,10.2,1025262,7304156,1,0.225,,,1.7333333333333334,0.39
594,203,3,14.6,1025262,7304156,1,0.225,,,1.5777777777777777,0.355
596,203,3,29.9,1025262,7304156,1,0.265,,,1.8679245283018868,0.495
599,203,3,87.4,1025262,7304156,1,0.275,,,1.690909090909091,0.465
600,203,3,125.0,1025262,7304156,1,0.295,,,1.6610169491525424,0.49
601,879,5,5.0,697312,4456442,1,0.25,,,1.82,0.455
606,879,5,29.9,697312,4456442,1,0.445,,,1.8764044943820224,0.835
609,879,5,87.4,697312,4456442,1,0.385,,,1.9870129870129871,0.765
614,539,4,14.6,564144,5898035,1,0.395,,,1.7341772151898733,0.685
616,539,4,29.9,564144,5898035,1,0.265,,,1.849056603773585,0.49
618,539,4,61.0,564144,5898035,1,0.31,,,1.6935483870967742,0.525
621,742,4,5.0,972266,6502101,1,0.25,,,1.62,0.405
623,742,4,10.2,972266,6502101,1,0.235,,,1.7446808510638299,0.41
625,742,4,20.9,972266,6502101,1,0.225,,,1.7333333333333334,0.39
628,742,4,61.0,972266,6502101,1,0.37,,,1.945945945945946,0.72
635,328,2,20.9,388142,4020608,1,0.385,,,1.7402597402597402,0.67
638,328,2,61.0,388142,4020608,1,0.3,,,1.6,0.48
641,587,3,5.0,663189,4363208,1,0.355,,,1.7746478873239437,0.63
642,587,3,7.1,663189,4363208,1,0.295,,,1.847457627118644,0.545
643,587,3,10.2,663189,4363208,1,0.365,,,1.726027397260274,0.63
644,587,3,14.6,663189,4363208,1,0.455,,,1.7472527472527473,0.795
645,587,3,20.9,663189,4363208,1,0.295,,,1.6779661016949152,0.495
647,587,3,42.7,663189,4363208,1,0.465,,,1.913978494623656,0.89
653,488,5,10.2,60818,6314311,1,0.405,,,2.0,0.81
654,488,5,14.6,60818,6314311,1,0.215,,,1.6046511627906976,0.345
656,488,5,29.9,60818,6314311,1,0.475,,,1.7263157894736842,0.82
657,488,5,42.7,60818,6314311,1,0.345,,,1.8985507246376812,0.655
658,488,5,61.0,60818,6314311,1,0.295,,,1.8305084745762712,0.54
660,488,5,125.0,60818,6314311,1,0.41,,,1.8780487804878048,0.77
662,424,7,7.1,754181,7594924,1,0.44,,,1.5681818181818181,0.69
663,424,7,10.2,754181,7594924,1,0.345,,,1.6521739130434783,0.57
665,424,7,20.9,754181,7594924,1,0.43,,,1.7906976744186047,0.77
666,424,7,29.9,754181,7594924,1,0.275,,,1.6727272727272726,0.46
669,424,7,87.4,754181,7594924,1,0.22,,,1.7954545454545454,0.395
671,655,4,5.0,898154,1751566,1,0.345,,,2.0144927536231885,0.695
680,655,4,125.0,898154,1751566,1,0.35,,,1.8571428571428572,0.65
688,399,7,61.0,365033,6882073,1,0.225,,,1.8,0.405
690,399,7,125.0,365033,6882073,1,0.44,,,1.6363636363636365,0.72
691,463,4,5.0,1083875,360924,1,0.215,,,1.6511627906976745,0.355
693,463,4,10.2,1083875,360924,1,0.48,,,1.9270833333333333,0.925
696,463,4,29.9,1083875,360924,1,0.37,,,1.9054054054054055,0.705
698,463,4,61.0,1083875,360924,1,0.405,,,1.7160493827160495,0.695
699,463,4,87.4,1083875,360924,1,0.315,,,1.9841269841269842,0.625
701,975,5,5.0,589887,4392660,1,0.3,,,1.9,0.57
702,975,5,7.1,589887,4392660,1,0.26,,,1.8846153846153846,0.49
704,975,5,14.6,589887,4392660,1,0.41,,,1.8902439024390243,0.775
705,975,5,20.9,589887,4392660,1,0.32,,,1.828125,0.585
706,975,5,29.9,589887,4392660,1,0.26,,,1.9615384615384615,0.51
707,975,5,42.7,589887,4392660,1,0.265,,,1.8867924528301887,0.5
712,353,7,7.1,447493,1716934,1,0.44,,,1.9318181818181819,0.85
714,353,7,14.6,447493,1716934,1,0.245,,,1.469387755102041,0.36
716,353,7,29.9,447493,1716934,1,0.35,,,1.9428571428571428,0.68
717,353,7,42.7,447493,1716934,1,0.455,,,1.6593406593406594,0.755
718,353,7,61.0,447493,1716934,1,0.295,,,1.7457627118644068,0.515
723,250,8,10.2,911140,5410068,1,0.375,,,1.8133333333333332,0.68
733,898,7,10.2,760639,4056088,1,0.17,,,1.8823529411764706,0.32
734,898,7,14.6,760639,4056088,1,0.23,,,1.8478260869565217,0.425
