system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,n_attacker_configs_used,P_bar_i,P_bar_i_ci_low,P_bar_i_ci_high,B_bar_i,V_bar_i,Dbar_plus_i,Dbar_plus_i_ci_low,Dbar_plus_i_ci_high,V_reorg_i
2094,454,4,14.6,326607,1373017,1,0.385,,,2.0172413793103448,0.585,2.0,,,0.77
2104,235,7,14.6,801870,7204118,1,0.355,,,1.851063829787234,0.435,2.0,,,0.71
2111,664,5,5.0,442214,2069828,1,0.455,,,1.8,0.45,2.0,,,0.91
2113,664,5,10.2,442214,2069828,1,0.665,,,2.1235955056179776,0.945,2.030075187969925,,,1.3500000000000003
2115,664,5,20.9,442214,2069828,1,0.545,,,1.8253968253968254,0.575,2.0091743119266057,,,1.0950000000000002
2117,664,5,42.7,442214,2069828,1,0.395,,,1.8775510204081634,0.46,2.0,,,0.79
2118,664,5,61.0,442214,2069828,1,0.63,,,2.0833333333333335,0.875,2.0,,,1.26
2119,664,5,87.4,442214,2069828,1,0.245,,,1.7727272727272727,0.195,2.0,,,0.49
2123,700,6,10.2,247217,1805565,1,0.385,,,1.7857142857142858,0.5,2.012987012987013,,,0.775
2124,700,6,14.6,247217,1805565,1,0.5,,,2.2,0.55,2.0,,,1.0
2126,700,6,29.9,247217,1805565,1,0.57,,,2.090909090909091,0.69,2.0,,,1.14
2127,700,6,42.7,247217,1805565,1,0.505,,,2.019230769230769,0.525,2.0,,,1.01
2129,700,6,87.4,247217,1805565,1,0.61,,,1.8208955223880596,0.61,2.0,,,1.22
2131,81,6,5.0,316968,2365480,1,0.32,,,1.697674418604651,0.365,2.0,,,0.64
2134,81,6,14.6,316968,2365480,1,0.41,,,1.8235294117647058,0.465,2.0121951219512195,,,0.825
2138,81,6,61.0,316968,2365480,1,0.305,,,1.725,0.345,2.0,,,0.61
2142,264,6,7.1,1188411,5498682,1,0.38,,,1.851063829787234,0.435,2.0,,,0.76
2149,264,6,87.4,1188411,5498682,1,0.525,,,1.8793103448275863,0.545,2.0,,,1.05
2150,264,6,125.0,1188411,5498682,1,0.36,,,1.880952380952381,0.395,2.0,,,0.72
2153,332,6,10.2,183548,654336,1,0.725,,,1.9534883720930232,0.84,2.013793103448276,,,1.46
2156,332,6,29.9,183548,654336,1,0.62,,,1.876543209876543,0.76,2.0,,,1.24
2157,332,6,42.7,183548,654336,1,0.47,,,1.9322033898305084,0.57,2.0,,,0.94
2159,332,6,87.4,183548,654336,1,0.44,,,1.912280701754386,0.545,2.0,,,0.88
2164,825,5,14.6,175925,5979388,1,0.65,,,1.9615384615384615,0.765,2.0076923076923077,,,1.305
2165,825,5,20.9,175925,5979388,1,0.615,,,1.7638888888888888,0.635,2.0,,,1.23
2167,825,5,42.7,175925,5979388,1,0.355,,,1.8823529411764706,0.48,2.0,,,0.71
2169,825,5,87.4,175925,5979388,1,0.405,,,1.7450980392156863,0.445,2.0,,,0.81
2170,825,5,125.0,175925,5979388,1,0.325,,,1.85,0.37,2.0,,,0.65
2180,262,5,125.0,1160842,921931,1,0.39,,,1.9615384615384615,0.51,2.0,,,0.78
2181,37,7,5.0,225012,7920954,1,0.59,,,1.7638888888888888,0.635,2.0,,,1.18
2182,37,7,7.1,225012,7920954,1,0.54,,,1.904109589041096,0.695,2.0,,,1.08
2184,37,7,14.6,225012,7920954,1,0.25,,,1.6756756756756757,0.31,2.0,,,0.5
2186,37,7,29.9,225012,7920954,1,0.355,,,1.76,0.44,2.0,,,0.71
2187,37,7,42.7,225012,7920954,1,0.45,,,1.6842105263157894,0.48,2.0,,,0.9
2189,37,7,87.4,225012,7920954,1,0.4,,,1.9038461538461537,0.495,2.0,,,0.8
2190,37,7,125.0,225012,7920954,1,0.705,,,2.0476190476190474,0.86,2.00709219858156,,,1.415
2195,496,3,20.9,469525,6532850,1,0.445,,,1.88,0.47,2.0,,,0.89
2196,496,3,29.9,469525,6532850,1,0.385,,,1.6875,0.405,2.0,,,0.77
2198,496,3,61.0,469525,6532850,1,0.375,,,1.775,0.355,2.0,,,0.75
