config_id,P_ij,B_ij,revenue_share_mean,stale_block_rate_mean,n_rounds,n_success,system_config_id,validator_count,node_degree,bandwidth,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
121977,0.255,1.5098039215686274,0.16735590104340103,0.004228974585356164,200,51,1220,338,3,125.0,742603,5594567,77,selfish,0.2375482709814891,0.0892183280233827
119858,0.25,2.24,0.20497673160173158,0.004192256811815637,200,50,1199,766,7,87.4,798663,7949417,58,selfish,0.3409275648695138,0.932574439505853
122351,0.2,1.875,0.13521433550110015,0.003642418431596816,200,40,1224,956,3,14.6,1118010,1467651,51,selfish,0.2182850515748211,0.1730815279492411
122256,0.38,1.9078947368421053,0.33234722222222224,0.00563704365079365,200,76,1223,956,3,10.2,1118010,1467651,56,selfish,0.4768512858671266,0.1447302436856452
122584,0.345,1.8405797101449275,0.3092261904761905,0.005395277777777778,200,69,1226,956,3,29.9,1118010,1467651,84,selfish,0.4277086989642705,0.7484720574557526
122669,0.125,1.64,0.07575135281385281,0.003545591465995876,200,25,1227,956,3,42.7,1118010,1467651,69,selfish,0.2070972729458678,0.2979198700199214
123673,0.175,1.7428571428571429,0.14377795815295813,0.004691825368259193,200,35,1237,759,4,42.7,288973,5169495,73,selfish,0.2631399047202775,0.494072025933513
122749,0.255,1.607843137254902,0.19937896825396828,0.0045990690763484865,200,51,1228,956,3,61.0,1118010,1467651,49,selfish,0.3008118292997498,0.7565167136190543
124095,0.345,1.9420289855072463,0.28854166666666664,0.005258858543417367,200,69,1241,544,6,5.0,732235,1872344,95,selfish,0.3751229337419657,0.1974510188067169
124238,0.26,1.9230769230769231,0.23004779942279943,0.004653528693528694,200,52,1243,544,6,10.2,732235,1872344,38,selfish,0.3509947337216052,0.8424701912520188
124521,0.21,1.7619047619047619,0.13603392337796363,0.003983169418300998,200,42,1246,544,6,29.9,732235,1872344,21,selfish,0.2397567210258474,0.5887702959721403
124669,0.155,1.7741935483870968,0.1008174603174603,0.0037923560597898833,200,31,1247,544,6,42.7,732235,1872344,69,selfish,0.2070972729458678,0.2979198700199214
12451,0.17,1.7647058823529411,0.10759325396825398,0.004104344487212133,200,34,125,621,7,20.9,424702,2860996,51,selfish,0.2182850515748211,0.1730815279492411
124868,0.285,1.9473684210526316,0.2373814935064935,0.004961428571428572,200,57,1249,544,6,87.4,732235,1872344,68,selfish,0.3706046305857265,0.4761663270697934
125299,0.295,1.8305084745762712,0.20120417521075415,0.004558204018204018,200,59,1253,716,4,10.2,1135398,5288526,99,selfish,0.3227365905845993,0.0746241892293311
125515,0.24,1.8333333333333333,0.17422095959595957,0.004296641275391272,200,48,1256,716,4,29.9,1135398,5288526,15,selfish,0.28091147618982,0.9551352008768642
125617,0.3,1.9,0.25658333333333333,0.005298234126984125,200,60,1257,716,4,42.7,1135398,5288526,17,selfish,0.4372556438030128,0.9067257327686692
125861,0.26,1.9230769230769231,0.20899107142857143,0.004768712676212674,200,52,1259,716,4,87.4,1135398,5288526,61,selfish,0.3070497535774244,0.9179940122389904
125963,0.425,1.9176470588235295,0.3867440476190476,0.005514503968253964,200,85,1260,716,4,125.0,1135398,5288526,63,selfish,0.4714045721788255,0.7667985672256883
126071,0.29,1.7413793103448276,0.21911507936507937,0.005044642857142858,200,58,1261,671,6,5.0,267508,2498978,71,selfish,0.3239323376009491,0.868936778850477
12612,0.325,2.076923076923077,0.27172059884559885,0.005373160173160171,200,65,127,621,7,42.7,424702,2860996,12,selfish,0.3985108847427614,0.9637929216712549
127057,0.15,1.4666666666666666,0.0967303391053391,0.004725984709734712,200,30,1271,434,6,5.0,709298,6394202,57,selfish,0.2281547978409189,0.2464978385902064
