strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
lead_stubborn,93421,93422,153,8,20.9,0.24260325729568,vcD2/deg8/bw20.9/hpQ1
lead_stubborn,141829,141830,110,4,87.4,0.2039812783100412,vcD1/deg4/bw87.4/hpQ1
lead_stubborn,56530,56531,323,8,29.9,0.2689147210983604,vcD4/deg8/bw29.9/hpQ2
lead_stubborn,28343,28344,939,2,14.6,0.3297294244236074,vcD10/deg2/bw14.6/hpQ3
lead_stubborn,179425,179426,46,2,20.9,0.2702561230694959,vcD1/deg2/bw20.9/hpQ2
lead_stubborn,166528,166529,126,6,29.9,0.2901917465581629,vcD2/deg6/bw29.9/hpQ2
lead_stubborn,53019,53020,245,5,5.0,0.2461140406262255,vcD3/deg5/bw5.0/hpQ1
lead_stubborn,204718,204719,632,3,61.0,0.4954733651280948,vcD7/deg3/bw61.0/hpQ5
lead_stubborn,231621,231622,101,4,42.7,0.24260325729568,vcD1/deg4/bw42.7/hpQ1
lead_stubborn,227286,227287,793,6,10.2,0.3108669576156866,vcD8/deg6/bw10.2/hpQ2
lead_stubborn,53589,53590,245,5,29.9,0.3196298037016608,vcD3/deg5/bw29.9/hpQ2
lead_stubborn,47148,47149,277,5,7.1,0.3008118292997498,vcD3/deg5/bw7.1/hpQ2
lead_stubborn,117659,117660,267,3,42.7,0.2892063661005389,vcD3/deg3/bw42.7/hpQ2
lead_stubborn,125578,125579,716,4,29.9,0.3642632456563252,vcD8/deg4/bw29.9/hpQ3
lead_stubborn,144134,144135,723,2,7.1,0.444752781116749,vcD8/deg2/bw7.1/hpQ5
lead_stubborn,157826,157827,920,3,87.4,0.4590052735626949,vcD10/deg3/bw87.4/hpQ5
lead_stubborn,3791,3792,842,2,61.0,0.3544902343139808,vcD9/deg2/bw61.0/hpQ3
lead_stubborn,194282,194283,491,6,10.2,0.2028601193675408,vcD5/deg6/bw10.2/hpQ1
lead_stubborn,155345,155346,985,8,14.6,0.4184444837622084,vcD10/deg8/bw14.6/hpQ4
lead_stubborn,100421,100422,720,4,20.9,0.24260325729568,vcD8/deg4/bw20.9/hpQ1
lead_stubborn,191091,191092,732,3,5.0,0.3544902343139808,vcD8/deg3/bw5.0/hpQ3
lead_stubborn,126573,126574,671,6,29.9,0.4831039344913304,vcD7/deg6/bw29.9/hpQ5
lead_stubborn,50724,50725,636,4,61.0,0.454095890072901,vcD7/deg4/bw61.0/hpQ5
lead_stubborn,239120,239121,96,4,7.1,0.2397567210258474,vcD1/deg4/bw7.1/hpQ1
lead_stubborn,234377,234378,138,8,14.6,0.3815618301396259,vcD2/deg8/bw14.6/hpQ4
lead_stubborn,209844,209845,454,4,87.4,0.2747520561924723,vcD5/deg4/bw87.4/hpQ2
lead_stubborn,124963,124964,544,6,125.0,0.4895135847322587,vcD6/deg6/bw125.0/hpQ5
lead_stubborn,222350,222351,558,7,14.6,0.2182850515748211,vcD6/deg7/bw14.6/hpQ1
lead_stubborn,216153,216154,825,5,7.1,0.3585232711576509,vcD9/deg5/bw7.1/hpQ3
lead_stubborn,149279,149280,408,6,10.2,0.2816906079992455,vcD4/deg6/bw10.2/hpQ2
lead_stubborn,240022,240023,771,5,5.0,0.3494898166749496,vcD8/deg5/bw5.0/hpQ3
lead_stubborn,201138,201139,418,6,7.1,0.4790241755215713,vcD5/deg6/bw7.1/hpQ5
lead_stubborn,81462,81463,687,2,20.9,0.4714045721788255,vcD7/deg2/bw20.9/hpQ5
lead_stubborn,219234,219235,496,3,10.2,0.444752781116749,vcD5/deg3/bw10.2/hpQ5
lead_stubborn,150337,150338,372,4,14.6,0.3509947337216052,vcD4/deg4/bw14.6/hpQ3
lead_stubborn,196234,196235,88,4,10.2,0.444752781116749,vcD1/deg4/bw10.2/hpQ5
lead_stubborn,187320,187321,174,3,14.6,0.2397567210258474,vcD2/deg3/bw14.6/hpQ1
lead_stubborn,23602,23603,800,5,42.7,0.405342196225377,vcD8/deg5/bw42.7/hpQ4
lead_stubborn,87772,87773,574,8,61.0,0.2631399047202775,vcD6/deg8/bw61.0/hpQ2
